"S","infect","infect_month","ser","SV","infectV","infect_monthV","serV"
1,124,4,0,1,0,0,0
1,91,3,0,1,0,0,0
1,123,4,0,1,162,6,0
1,56,2,0,1,97,4,0
1,0,0,0,1,132,5,0
1,0,0,0,1,14,1,0
1,175,6,0,1,119,4,0
1,0,0,0,1,0,0,0
1,35,2,0,1,122,4,0
1,0,0,0,1,98,4,0
1,0,0,0,1,62,2,0
1,0,0,0,1,86,3,0
1,91,3,0,1,35,2,35
1,0,0,0,1,37,2,0
1,7,1,7,1,178,6,0
1,150,5,0,1,0,0,0
1,47,2,0,1,4,1,0
1,124,4,0,1,73,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,80,3,0
1,0,0,0,1,0,0,0
1,167,6,0,1,154,5,0
1,0,0,0,1,0,0,0
1,64,3,0,1,60,2,0
1,133,5,0,1,0,0,0
1,0,0,0,1,18,1,0
1,0,0,0,1,55,2,0
1,121,4,0,1,0,0,0
1,0,0,0,1,53,2,0
1,23,1,0,1,41,2,0
1,87,3,0,1,45,2,45
1,77,3,0,1,67,3,0
1,0,0,0,1,90,3,0
1,25,1,0,1,171,6,0
1,73,3,0,1,1,1,0
1,0,0,0,1,175,6,0
1,65,3,0,1,0,0,0
1,49,2,0,1,17,1,0
1,0,0,0,1,19,1,19
1,164,6,0,1,0,0,0
1,89,3,0,1,18,1,0
1,0,0,0,1,77,3,0
1,145,5,0,1,87,3,87
1,109,4,0,1,0,0,0
1,27,1,0,1,107,4,0
1,42,2,0,1,92,3,0
1,54,2,0,1,0,0,0
1,67,3,0,1,28,1,0
1,157,6,0,1,31,1,0
1,8,1,0,1,57,2,0
1,50,2,0,1,41,2,0
1,81,3,0,1,147,5,0
1,78,3,0,1,36,2,0
1,12,1,0,1,82,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,145,5,0,1,95,4,95
1,111,4,111,1,30,1,0
1,173,6,0,1,0,0,0
1,0,0,0,1,8,1,0
1,172,6,0,1,0,0,0
1,174,6,0,1,76,3,0
1,39,2,0,1,0,0,0
1,2,1,0,1,60,2,0
